TYPE,YEAR,MONTH,HUNDRED_BLOCK
Mischief Under $5000,2013,01,5XX SEYMOUR ST
Mischief Under $5000,2013,01,39XX GLENDALE ST
Mischief Under $5000,2013,01,32XX W 41ST AVE
Mischief Under $5000,2013,01,17XX E 34TH AVE
Mischief Under $5000,2013,01,8XX ABBOTT ST
Mischief Under $5000,2013,01,23XX ASH ST
Mischief Under $5000,2013,01,5XX GREAT NORTHERN WAY
Mischief Under $5000,2013,01,29XX W 37TH AVE
Mischief Under $5000,2013,01,12XX GRANVILLE ST
Mischief Under $5000,2013,01,69XX ONTARIO ST
Mischief Under $5000,2013,01,6XX W 45TH AVE
Mischief Under $5000,2013,01,8XX PACIFIC ST
Mischief Under $5000,2013,01,45XX PICTON ST
Mischief Under $5000,2013,01,2XX MAIN ST
Mischief Under $5000,2013,01,9XX E 55TH AVE
Mischief Under $5000,2013,01,E 10TH AVE / PRINCE EDWARD ST
Mischief Under $5000,2013,01,HARRISON DR / VICTORIA DR
Mischief Under $5000,2013,01,32XX E 14TH AVE
Mischief Under $5000,2013,01,41XX MILLER ST
Mischief Under $5000,2013,01,35XX W 40TH AVE
Mischief Under $5000,2013,01,17XX E 35TH AVE
Mischief Under $5000,2013,01,33XX E 8TH AVE
Mischief Under $5000,2013,01,E 7TH AVE / WINDSOR ST
Mischief Under $5000,2013,01,5XX ABBOTT ST
Mischief Under $5000,2013,01,1XX MAIN ST
Mischief Under $5000,2013,01,6XX SEYMOUR ST
Mischief Under $5000,2013,01,2XX CAMBIE ST
Mischief Under $5000,2013,01,3XX SEMLIN DR
Mischief Under $5000,2013,01,6XX MAIN ST
Mischief Under $5000,2013,01,13XX E HASTINGS ST
Mischief Under $5000,2013,01,1XX W GEORGIA ST
Mischief Under $5000,2013,01,1XX E PENDER ST
Mischief Under $5000,2013,01,1XX E HASTINGS ST
Mischief Under $5000,2013,01,9XX MAINLAND ST
Mischief Under $5000,2013,01,1XX E 7TH AVE
Mischief Under $5000,2013,01,58XX WILTSHIRE ST
Mischief Under $5000,2013,01,14XX W 8TH AVE
Mischief Under $5000,2013,01,COLUMBIA ST / W 7TH AVE
Mischief Under $5000,2013,01,16XX E 13TH AVE
Mischief Under $5000,2013,01,1XX POWELL ST
Mischief Under $5000,2013,01,17XX POWELL ST
Mischief Under $5000,2013,01,8XX PACIFIC ST
Mischief Under $5000,2013,01,23XX E 45TH AVE
Mischief Under $5000,2013,01,27XX W 6TH AVE
Mischief Under $5000,2013,01,89XX SHAUGHNESSY ST
Mischief Under $5000,2013,01,26XX E BROADWAY AVE
Mischief Under $5000,2013,01,10XX COTTON DR
Mischief Under $5000,2013,01,5XX W BROADWAY AVE
Mischief Under $5000,2013,01,72XX BLAKE ST
Mischief Under $5000,2013,01,1XX W 49TH AVE
Mischief Under $5000,2013,01,18XX E 11TH AVE
Mischief Under $5000,2013,01,84XX JELLICOE ST
Mischief Under $5000,2013,01,16XX COMMERCIAL DR
Mischief Under $5000,2013,01,1XX E HASTINGS ST
Mischief Under $5000,2013,01,50XX ANN ST
Mischief Under $5000,2013,01,2XX ALVIN NAROD MEWS
Mischief Under $5000,2013,01,31XX E 15TH AVE
Mischief Under $5000,2013,01,5XX HOMER ST
Mischief Under $5000,2013,01,12XX E 63RD AVE
Mischief Under $5000,2013,01,15XX E 2ND AVE
Mischief Under $5000,2013,01,35XX E 26TH AVE
Mischief Under $5000,2013,01,10XX BURNABY ST
Mischief Under $5000,2013,01,11XX PENDRELL ST
Mischief Under $5000,2013,01,7XX W 42ND AVE
Mischief Under $5000,2013,01,1XX E PENDER ST
Mischief Under $5000,2013,01,35XX WORTHINGTON DR
Mischief Under $5000,2013,01,3XX E 51ST AVE
Mischief Under $5000,2013,01,14XX ROBSON ST
Mischief Under $5000,2013,01,45XX WALDEN ST
Mischief Under $5000,2013,01,75XX BEADNELL CRT
Mischief Under $5000,2013,01,27XX W 4TH AVE
Mischief Under $5000,2013,01,38XX W 19TH AVE
Mischief Under $5000,2013,01,1XX E HASTINGS ST
Mischief Under $5000,2013,01,21XX CASSIAR ST
Mischief Under $5000,2013,01,1XX W PENDER ST
Mischief Under $5000,2013,01,71XX ONTARIO ST
Mischief Under $5000,2013,01,2XX E GEORGIA ST
Mischief Under $5000,2013,01,38XX DUNBAR ST
Mischief Under $5000,2013,01,7XX E 39TH AVE
Mischief Under $5000,2013,01,55XX TYNE ST
Mischief Under $5000,2013,01,17XX MAIN ST
Mischief Under $5000,2013,01,28XX ASH ST
Mischief Under $5000,2013,01,11XX KASLO ST
Mischief Under $5000,2013,01,12XX ROBSON ST
Mischief Under $5000,2013,01,10XX GRANVILLE ST
Mischief Under $5000,2013,01,7XX W GEORGIA ST
Mischief Under $5000,2013,01,18XX E 11TH AVE
Mischief Under $5000,2013,01,8XX HOWE ST
Mischief Under $5000,2013,01,12XX W 11TH AVE
Mischief Under $5000,2013,01,23XX GUELPH ST
Mischief Under $5000,2013,01,1XX E HASTINGS ST
Mischief Under $5000,2013,01,34XX W 39TH AVE
Mischief Under $5000,2013,01,23XX GUELPH ST
Mischief Under $5000,2013,01,7XX E 60TH AVE
Mischief Under $5000,2013,01,81XX LORD ST
Mischief Under $5000,2013,01,1XX E CORDOVA ST
Mischief Under $5000,2013,01,66XX FRASER ST
Mischief Under $5000,2013,01,12XX W BROADWAY AVE
Mischief Under $5000,2013,01,22XX GRANVILLE ST
Mischief Under $5000,2013,01,QUEBEC ST / TERMINAL AVE
Mischief Under $5000,2013,01,16XX NAPIER ST
Mischief Under $5000,2013,01,10XX RICHARDS ST
Mischief Under $5000,2013,01,11XX DAVIE ST
Mischief Under $5000,2013,01,56XX NANAIMO ST
Mischief Under $5000,2013,01,5XX CAMPBELL AVE
Mischief Under $5000,2013,01,12XX KINGSWAY AVE
Mischief Under $5000,2013,01,7XX GREAT NORTHERN WAY
Mischief Under $5000,2013,01,COPLEY ST / E 18TH AVE
Mischief Under $5000,2013,01,28XX KITCHENER ST
Mischief Under $5000,2013,01,15XX ROBSON ST
Mischief Under $5000,2013,01,31XX YUKON ST
Mischief Under $5000,2013,01,5XX W 6TH AVE
Mischief Under $5000,2013,01,22XX EDDINGTON DR
Mischief Under $5000,2013,01,4XX W 44TH AVE
Mischief Under $5000,2013,01,5XX DAVIE ST
Mischief Under $5000,2013,01,3XX ABBOTT ST
Mischief Under $5000,2013,01,63XX VICTORIA DR
Mischief Under $5000,2013,01,1XX WATER ST
Mischief Under $5000,2013,01,10XX BUTE ST
Mischief Under $5000,2013,01,13XX W 11TH AVE
Mischief Under $5000,2013,01,37XX W 10TH AVE
Mischief Under $5000,2013,01,17XX E 11TH AVE
Mischief Under $5000,2013,01,34XX W 8TH AVE
Mischief Under $5000,2013,01,26XX CHARLES ST
Mischief Under $5000,2013,01,18XX LORNE ST
Mischief Under $5000,2013,01,23XX TRIUMPH ST
Mischief Under $5000,2013,01,TAYLOR ST / W PENDER ST
Mischief Under $5000,2013,01,5XX SMITHE ST
Mischief Under $5000,2013,01,16XX BURNABY ST
Mischief Under $5000,2013,01,13XX HOWE ST
Mischief Under $5000,2013,01,3XX POWELL ST
Mischief Under $5000,2013,01,TISDALL ST / W 50TH AVE
Mischief Under $5000,2013,01,2XX SE MARINE DR
Mischief Under $5000,2013,01,7XX W GEORGIA ST
Mischief Under $5000,2013,01,2XX E GEORGIA ST
Mischief Under $5000,2013,01,35XX GRANDVIEW HWY
Mischief Under $5000,2013,01,2XX ABBOTT ST
Mischief Under $5000,2013,01,63XX VICTORIA DR
Mischief Under $5000,2013,01,10XX ALBERNI ST
Mischief Under $5000,2013,01,30XX HORLEY ST
Mischief Under $5000,2013,01,2XX E HASTINGS ST
Mischief Under $5000,2013,01,69XX VICTORIA DR
Mischief Under $5000,2013,01,12XX E 8TH AVE
Mischief Under $5000,2013,01,15XX E 6TH AVE
Mischief Under $5000,2013,01,1XX E 1ST AVE
Mischief Under $5000,2013,01,28XX BENTALL ST
Mischief Under $5000,2013,01,7XX GRANVILLE ST
Mischief Under $5000,2013,01,42XX QUESNEL DR
Mischief Under $5000,2013,01,1XX E HASTINGS ST
Mischief Under $5000,2013,01,HAMILTON ST / NELSON ST
Mischief Under $5000,2013,01,15XX E HASTINGS ST
Mischief Under $5000,2013,01,5XX HOMER ST
Mischief Under $5000,2013,01,3XX E BROADWAY AVE
Mischief Under $5000,2013,01,15XX E 2ND AVE
Mischief Under $5000,2013,01,QUEBEC ST / UNION ST
Mischief Under $5000,2013,01,28XX E 54TH AVE
Mischief Under $5000,2013,01,18XX TRIUMPH ST
Mischief Under $5000,2013,01,12XX E HASTINGS ST
Mischief Under $5000,2013,01,14XX COMOX ST
Mischief Under $5000,2013,01,4XX E 43RD AVE
Mischief Under $5000,2013,01,20XX E 12TH AVE
Mischief Under $5000,2013,01,32XX E 14TH AVE
Mischief Under $5000,2013,01,MAIN ST / UNION ST
Mischief Under $5000,2013,01,COMMERCIAL DR / E 6TH AVE
Mischief Under $5000,2013,01,10XX BEACH AVE
Mischief Under $5000,2013,01,87XX HUDSON ST
Mischief Under $5000,2013,01,1XX E HASTINGS ST
Mischief Under $5000,2013,01,37XX W 19TH AVE
Mischief Under $5000,2013,01,16XX E 6TH AVE
Mischief Under $5000,2013,01,7XX HEATLEY AVE
Mischief Under $5000,2013,01,COMMERCIAL DR / E 1ST AVE
Mischief Under $5000,2013,01,1XX REGIMENT SQ
Mischief Under $5000,2013,01,14XX HARO ST
Mischief Under $5000,2013,01,16XX FRANKLIN ST
Mischief Under $5000,2013,01,16XX E 14TH AVE
Mischief Under $5000,2013,01,1XX W PENDER ST
Mischief Under $5000,2013,01,30XX E KENT N AVE
Mischief Under $5000,2013,01,7XX DRAKE ST
Mischief Under $5000,2013,01,DUNDAS ST / NANAIMO ST
Mischief Under $5000,2013,01,6XX GRANVILLE ST
Mischief Under $5000,2013,01,7XX PACIFIC BLVD
Mischief Under $5000,2013,01,27XX E 54TH AVE
Mischief Under $5000,2013,01,78XX OSLER ST
Mischief Under $5000,2013,01,CHESTNUT ST / WHYTE AVE
Mischief Under $5000,2013,01,1XX W HASTINGS ST
Mischief Under $5000,2013,01,10XX HOWE ST
Mischief Under $5000,2013,01,25XX E 10TH AVE
Mischief Under $5000,2013,01,DUNBAR ST / W 41ST AVE
Mischief Under $5000,2013,01,72XX KNIGHT ST
Mischief Under $5000,2013,01,22XX COMMERCIAL DR
Mischief Under $5000,2013,01,8XX GRANVILLE ST
Mischief Under $5000,2013,01,35XX NORMANDY DR
Mischief Under $5000,2013,01,16XX DAVIE ST
Mischief Under $5000,2013,01,40XX W 38TH AVE
Mischief Under $5000,2013,01,38XX W 8TH AVE
Mischief Under $5000,2013,01,63XX VICTORIA DR
Mischief Under $5000,2013,01,32XX E 14TH AVE
Mischief Under $5000,2013,01,24XX KINGSWAY AVE
Mischief Under $5000,2013,01,43XX ELGIN ST
Mischief Under $5000,2013,01,GRAVELEY ST / VICTORIA DR
Mischief Under $5000,2013,01,8XX QUEBEC ST
Mischief Under $5000,2013,01,13XX JERVIS ST
Mischief Under $5000,2013,01,2XX UNION ST
Mischief Under $5000,2013,01,28XX E 8TH AVE
Mischief Under $5000,2013,01,14XX E 3RD AVE
Mischief Under $5000,2013,01,25XX TRINITY ST
Mischief Under $5000,2013,01,4XX E 5TH AVE
Mischief Under $5000,2013,01,3XX E HASTINGS ST
Mischief Under $5000,2013,01,9XX MAINLAND ST
Mischief Under $5000,2013,01,CAMBIE ST / W BROADWAY AVE
Mischief Under $5000,2013,01,KINGSWAY AVE / VICTORIA DR
Mischief Under $5000,2013,01,24XX E BROADWAY AVE
Mischief Under $5000,2013,01,13XX E BROADWAY AVE
Mischief Under $5000,2013,01,8XX E 15TH AVE
Mischief Under $5000,2013,01,5XX E 11TH AVE
Mischief Under $5000,2013,01,64XX CHESTER ST
Mischief Under $5000,2013,01,7XX GRANVILLE ST
Mischief Under $5000,2013,01,1XX E 5TH AVE
Mischief Under $5000,2013,01,4XX CARRALL ST
Mischief Under $5000,2013,01,62XX KILLARNEY ST
Mischief Under $5000,2013,01,4XX W PENDER ST
Mischief Under $5000,2013,01,8XX E 6TH AVE
Mischief Under $5000,2013,01,7XX W GEORGIA ST
Mischief Under $5000,2013,01,42XX QUESNEL DR
Mischief Under $5000,2013,01,7XX DAVIE ST
Mischief Under $5000,2013,01,6XX MAIN ST
Mischief Under $5000,2013,01,81XX FRENCH ST
Mischief Under $5000,2013,01,STANLEY PARK CSWY / W GEORGIA ST
Mischief Under $5000,2013,01,1XX E 8TH AVE
Mischief Under $5000,2013,01,1XX W GEORGIA ST
Mischief Under $5000,2013,01,30XX RUPERT ST
Mischief Under $5000,2013,01,12XX W 11TH AVE
Mischief Under $5000,2013,01,19XX E BROADWAY AVE
Mischief Under $5000,2013,01,1XX WATER ST
Mischief Under $5000,2013,01,11XX W GEORGIA ST
Mischief Under $5000,2013,01,8XX W 66TH AVE
Mischief Under $5000,2013,01,7XX SAWYERS LANE
Mischief Under $5000,2013,01,32XX E 14TH AVE
Mischief Under $5000,2013,01,8XX W 67TH AVE
Mischief Under $5000,2013,01,W KING EDWARD AVE / YEW ST
Mischief Under $5000,2013,01,1XX E BROADWAY AVE
Mischief Under $5000,2013,01,29XX GRANDVIEW HWY
Mischief Under $5000,2013,01,MANITOBA ST / WALTER HARDWICK AVE
Mischief Under $5000,2013,01,9XX DENMAN ST
Mischief Under $5000,2013,01,28XX GRANVILLE ST
Mischief Under $5000,2013,01,14XX PENDRELL ST
Mischief Under $5000,2013,01,CLARK DR / E BROADWAY AVE
Mischief Under $5000,2013,01,26XX VICTORIA DR
Mischief Under $5000,2013,01,24XX W 20TH AVE
Mischief Under $5000,2013,01,11XX NELSON ST
Mischief Under $5000,2013,01,17XX PARKER ST
Mischief Under $5000,2013,01,33XX WALLACE ST
Mischief Under $5000,2013,01,27XX E 45TH AVE
Mischief Under $5000,2013,01,7XX W GEORGIA ST
Mischief Under $5000,2013,01,CLARK DR / PARKER ST
Mischief Under $5000,2013,01,42XX W 8TH AVE
Mischief Under $5000,2013,01,1XX E CORDOVA ST
Mischief Under $5000,2013,01,3XX E HASTINGS ST
Mischief Under $5000,2013,01,14XX BEACH AVE
Mischief Under $5000,2013,01,13XX BEACH AVE
Mischief Under $5000,2013,01,4XX W 43RD AVE
Theft From Auto Over  $5000,2013,01,48XX CAMBIE ST
Theft From Auto Over  $5000,2013,01,1XX E CORDOVA ST
Theft From Auto Over  $5000,2013,01,15XX STANLEY PARK DR
Theft From Auto Over  $5000,2013,01,9XX BURRARD ST
Theft From Auto Over  $5000,2013,01,14XX ANDERSON ST
Theft From Auto Over  $5000,2013,01,1XX W 6TH AVE
Theft From Auto Over  $5000,2013,01,12XX VENABLES ST
Theft From Auto Over  $5000,2013,01,7XX PACIFIC BLVD
Theft From Auto Under $5000,2013,01,VINE ST / W 6TH AVE
Theft From Auto Under $5000,2013,01,7XX GREAT NORTHERN WAY
Theft From Auto Under $5000,2013,01,22XX MANNERING AVE
Theft From Auto Under $5000,2013,01,36XX RAE AVE
Theft From Auto Under $5000,2013,01,ARBOR AVE / MATHESON CRES
Theft From Auto Under $5000,2013,01,23XX W 6TH AVE
Theft From Auto Under $5000,2013,01,6XX W BROADWAY AVE
Theft From Auto Under $5000,2013,01,8XX W BROADWAY AVE
Theft From Auto Under $5000,2013,01,14XX BURRARD ST
Theft From Auto Under $5000,2013,01,29XX E PENDER ST
Theft From Auto Under $5000,2013,01,11XX E 6TH AVE
Theft From Auto Under $5000,2013,01,E 49TH AVE / FRONTENAC ST
Theft From Auto Under $5000,2013,01,12XX WILLIAM ST
Theft From Auto Under $5000,2013,01,4XX E 43RD AVE
Theft From Auto Under $5000,2013,01,6XX EXPO BLVD
Theft From Auto Under $5000,2013,01,1XX W 42ND AVE
Theft From Auto Under $5000,2013,01,88XX OSLER ST
Theft From Auto Under $5000,2013,01,56XX STANLEY PARK DR
Theft From Auto Under $5000,2013,01,6XX RICHARDS ST
Theft From Auto Under $5000,2013,01,5XX SEYMOUR ST
Theft From Auto Under $5000,2013,01,3XX E 60TH AVE
Theft From Auto Under $5000,2013,01,15XX E 35TH AVE
Theft From Auto Under $5000,2013,01,39XX GLEN DR
Theft From Auto Under $5000,2013,01,4XX SEYMOUR ST
Theft From Auto Under $5000,2013,01,RICHARDS ST / W GEORGIA ST
Theft From Auto Under $5000,2013,01,28XX E 8TH AVE
Theft From Auto Under $5000,2013,01,30XX NANAIMO ST
Theft From Auto Under $5000,2013,01,7XX W GEORGIA ST
Theft From Auto Under $5000,2013,01,41XX W 16TH AVE
Theft From Auto Under $5000,2013,01,BRUCE ST / E 37TH AVE
Theft From Auto Under $5000,2013,01,1XX E PENDER ST
Theft From Auto Under $5000,2013,01,54XX COMMERCIAL ST
Theft From Auto Under $5000,2013,01,16XX E 13TH AVE
Theft From Auto Under $5000,2013,01,20XX KINGSWAY AVE
Theft From Auto Under $5000,2013,01,5XX E 57TH AVE
Theft From Auto Under $5000,2013,01,11XX W HASTINGS ST
Theft From Auto Under $5000,2013,01,5XX E 55TH AVE
